#Data tag : 19v1 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 321457:7065 | 08/19/18 07:38:11 | 1845 | 1844 | 0.501          | 0.482         |
| 321461:7065 | 08/19/18 19:38:10 | 149  | 149  | 0.022          | 0.021         |
| 321475:7069 | 08/20/18 01:30:43 | 2028 | 2028 | 0.488          | 0.471         |
| 321710:7078 | 08/23/18 13:20:08 | 57   | 52   | 0.020          | 0.017         |
| 321712:7078 | 08/23/18 13:42:14 | 247  | 247  | 0.088          | 0.084         |
| 321730:7080 | 08/23/18 21:10:55 | 289  | 286  | 0.113          | 0.103         |
| 321732:7080 | 08/23/18 23:11:04 | 1412 | 1407 | 0.359          | 0.344         |
| 321735:7080 | 08/24/18 08:33:27 | 146  | 146  | 0.024          | 0.024         |
| 321755:7083 | 08/24/18 13:48:50 | 693  | 686  | 0.223          | 0.213         |
| 321758:7083 | 08/24/18 18:21:07 | 157  | 152  | 0.040          | 0.037         |
| 321760:7083 | 08/24/18 19:44:52 | 805  | 805  | 0.150          | 0.146         |
| 321773:7087 | 08/25/18 12:11:58 | 55   | 55   | 0.022          | 0.021         |
| 321774:7087 | 08/25/18 12:43:49 | 117  | 117  | 0.046          | 0.044         |
| 321775:7087 | 08/25/18 13:36:11 | 13   | 13   | 0.005          | 0.005         |
| 321776:7087 | 08/25/18 13:57:38 | 33   | 30   | 0.012          | 0.010         |
| 321777:7087 | 08/25/18 14:14:59 | 187  | 187  | 0.064          | 0.059         |
| 321778:7087 | 08/25/18 16:07:27 | 143  | 136  | 0.042          | 0.036         |
| 321780:7087 | 08/25/18 17:04:57 | 481  | 481  | 0.117          | 0.113         |
| 321781:7087 | 08/25/18 20:38:11 | 380  | 380  | 0.070          | 0.068         |
| 321813:7090 | 08/26/18 09:20:15 | 321  | 321  | 0.125          | 0.120         |
| 321815:7090 | 08/26/18 12:01:16 | 23   | 23   | 0.008          | 0.005         |
| 321817:7090 | 08/26/18 12:20:00 | 536  | 536  | 0.153          | 0.148         |
| 321818:7090 | 08/26/18 15:50:06 | 690  | 690  | 0.143          | 0.138         |
| 321820:7090 | 08/26/18 20:26:15 | 214  | 214  | 0.033          | 0.032         |
| 321831:7091 | 08/27/18 00:10:22 | 757  | 752  | 0.260          | 0.248         |
| 321832:7091 | 08/27/18 05:06:22 | 497  | 494  | 0.121          | 0.116         |
| 321833:7091 | 08/27/18 08:27:00 | 407  | 398  | 0.078          | 0.074         |
| 321834:7091 | 08/27/18 11:05:28 | 333  | 333  | 0.051          | 0.050         |
| 321879:7092 | 08/27/18 17:57:43 | 274  | 265  | 0.099          | 0.090         |
| 321880:7092 | 08/27/18 20:01:46 | 130  | 130  | 0.043          | 0.041         |
| 321887:7095 | 08/28/18 01:04:04 | 895  | 895  | 0.287          | 0.276         |
| 321908:7097 | 08/28/18 13:40:10 | 430  | 426  | 0.157          | 0.145         |
| 321909:7097 | 08/28/18 16:31:34 | 1653 | 1653 | 0.351          | 0.340         |
| 321917:7098 | 08/29/18 05:24:24 | 798  | 798  | 0.271          | 0.261         |
| 321919:7098 | 08/29/18 10:38:52 | 6    | 6    | 0.002          | 0.001         |
| 321933:7099 | 08/29/18 14:09:13 | 282  | 282  | 0.105          | 0.101         |
| 321960:7101 | 08/29/18 21:26:49 | 30   | 24   | 0.011          | 0.007         |
| 321961:7101 | 08/29/18 21:43:01 | 354  | 354  | 0.138          | 0.132         |
| 321973:7105 | 08/30/18 09:44:30 | 1213 | 1208 | 0.374          | 0.358         |
| 321975:7105 | 08/30/18 17:37:18 | 866  | 866  | 0.151          | 0.146         |
| 321988:7108 | 08/31/18 03:56:29 | 1333 | 1329 | 0.400          | 0.383         |
| 321990:7108 | 08/31/18 13:16:37 | 471  | 471  | 0.083          | 0.081         |
| 322013:7109 | 08/31/18 18:44:38 | 9    | 9    | 0.002          | 0.001         |
| 322014:7109 | 08/31/18 18:52:10 | 17   | 17   | 0.007          | 0.007         |
| 322022:7110 | 08/31/18 21:02:55 | 1749 | 1749 | 0.469          | 0.452         |
| 322040:7112 | 09/01/18 11:09:06 | 39   | 39   | 0.014          | 0.014         |
| 322057:7114 | 09/01/18 20:28:32 | 21   | 21   | 0.009          | 0.008         |
| 322068:7117 | 09/02/18 02:40:56 | 674  | 674  | 0.243          | 0.232         |
| 322079:7118 | 09/02/18 11:24:26 | 360  | 360  | 0.147          | 0.140         |
| 322106:7120 | 09/02/18 21:40:43 | 824  | 824  | 0.292          | 0.281         |
| 322113:7122 | 09/03/18 06:37:14 | 112  | 108  | 0.045          | 0.041         |
| 322118:7122 | 09/03/18 07:20:37 | 861  | 861  | 0.279          | 0.268         |
| 322179:7123 | 09/03/18 16:39:51 | 1739 | 1739 | 0.487          | 0.469         |
| 322201:7124 | 09/04/18 05:55:39 | 228  | 222  | 0.093          | 0.084         |
| 322204:7124 | 09/04/18 07:24:58 | 1136 | 1136 | 0.325          | 0.311         |
| 322222:7124 | 09/04/18 14:53:45 | 526  | 526  | 0.096          | 0.093         |
| 322252:7125 | 09/04/18 20:29:20 | 1545 | 1545 | 0.438          | 0.420         |
| 322317:7127 | 09/05/18 12:01:44 | 54   | 54   | 0.020          | 0.019         |
| 322319:7127 | 09/05/18 12:25:29 | 163  | 161  | 0.064          | 0.055         |
| 322322:7127 | 09/05/18 13:29:27 | 1109 | 1107 | 0.303          | 0.292         |
| 322324:7127 | 09/05/18 21:27:53 | 416  | 416  | 0.071          | 0.069         |
| 322332:7128 | 09/06/18 02:11:56 | 1019 | 1019 | 0.326          | 0.313         |
| 322348:7131 | 09/06/18 13:43:39 | 1466 | 1466 | 0.429          | 0.413         |
| 322355:7132 | 09/07/18 01:05:42 | 102  | 99   | 0.037          | 0.034         |
| 322356:7132 | 09/07/18 01:45:19 | 779  | 779  | 0.242          | 0.234         |
| 322381:7133 | 09/07/18 11:10:32 | 533  | 533  | 0.186          | 0.178         |
| 322407:7135 | 09/07/18 17:47:22 | 537  | 537  | 0.178          | 0.170         |
| 322430:7137 | 09/08/18 01:19:19 | 456  | 456  | 0.161          | 0.156         |
| 322431:7137 | 09/08/18 06:34:56 | 1108 | 1108 | 0.221          | 0.214         |
| 322480:7139 | 09/08/18 17:33:13 | 349  | 341  | 0.120          | 0.109         |
| 322492:7139 | 09/08/18 20:56:03 | 1386 | 1386 | 0.297          | 0.287         |
| 322510:7142 | 09/09/18 08:32:39 | 9    | 9    | 0.002          | 0.002         |
| 322599:7144 | 09/09/18 15:58:47 | 252  | 252  | 0.100          | 0.094         |
| 322602:7144 | 09/09/18 17:40:01 | 70   | 69   | 0.026          | 0.024         |
| 322603:7144 | 09/09/18 18:08:09 | 10   | 10   | 0.004          | 0.003         |
| 322605:7144 | 09/09/18 18:13:23 | 280  | 280  | 0.093          | 0.089         |
| 322617:7144 | 09/09/18 21:12:33 | 601  | 601  | 0.141          | 0.136         |
| 322625:7145 | 09/10/18 03:32:10 | 1120 | 1120 | 0.347          | 0.335         |
| 322633:7145 | 09/10/18 10:51:34 | 249  | 249  | 0.053          | 0.051         |
| 323414:7213 | 09/24/18 01:51:16 | 46   | 40   | 0.008          | 0.006         |
| 323423:7213 | 09/24/18 05:01:48 | 136  | 136  | 0.022          | 0.021         |
| 323470:7217 | 09/24/18 13:47:51 | 222  | 221  | 0.085          | 0.080         |
| 323471:7217 | 09/24/18 15:18:19 | 238  | 232  | 0.082          | 0.075         |
| 323472:7217 | 09/24/18 16:50:41 | 64   | 64   | 0.020          | 0.019         |
| 323473:7217 | 09/24/18 17:40:41 | 227  | 227  | 0.064          | 0.054         |
| 323474:7217 | 09/24/18 19:42:20 | 355  | 352  | 0.081          | 0.078         |
| 323475:7217 | 09/24/18 22:00:42 | 77   | 77   | 0.015          | 0.014         |
| 323487:7218 | 09/25/18 03:28:20 | 451  | 451  | 0.161          | 0.154         |
| 323488:7218 | 09/25/18 06:30:08 | 750  | 745  | 0.194          | 0.186         |
| 323492:7218 | 09/25/18 11:45:43 | 33   | 30   | 0.007          | 0.006         |
| 323493:7218 | 09/25/18 11:58:37 | 144  | 140  | 0.029          | 0.027         |
| 323495:7218 | 09/25/18 12:54:31 | 187  | 187  | 0.034          | 0.032         |
| 323524:7221 | 09/25/18 22:36:20 | 537  | 531  | 0.181          | 0.173         |
| 323525:7221 | 09/26/18 02:05:25 | 1121 | 1117 | 0.252          | 0.242         |
| 323526:7221 | 09/26/18 09:22:43 | 462  | 462  | 0.066          | 0.065         |
| 323693:7234 | 09/29/18 01:47:30 | 114  | 114  | 0.043          | 0.040         |
| 323696:7234 | 09/29/18 02:33:10 | 257  | 257  | 0.093          | 0.089         |
| 323702:7234 | 09/29/18 08:56:34 | 808  | 808  | 0.150          | 0.146         |
| 323725:7236 | 09/29/18 18:38:39 | 329  | 329  | 0.125          | 0.118         |
| 323726:7236 | 09/29/18 20:49:58 | 60   | 53   | 0.021          | 0.015         |
| 323727:7236 | 09/29/18 21:13:04 | 971  | 971  | 0.256          | 0.247         |
| 323755:7239 | 09/30/18 11:17:44 | 929  | 929  | 0.308          | 0.296         |
| 323775:7240 | 09/30/18 19:49:18 | 132  | 129  | 0.050          | 0.047         |
| 323778:7240 | 09/30/18 20:41:26 | 934  | 934  | 0.282          | 0.271         |
| 323790:7242 | 10/01/18 07:35:02 | 904  | 900  | 0.291          | 0.276         |
| 323794:7242 | 10/01/18 13:29:17 | 68   | 68   | 0.017          | 0.016         |
| 323841:7245 | 10/01/18 23:32:02 | 465  | 464  | 0.163          | 0.155         |
| 323857:7245 | 10/02/18 02:35:30 | 357  | 357  | 0.099          | 0.095         |
| 323940:7252 | 10/03/18 01:12:47 | 1519 | 1519 | 0.447          | 0.426         |
| 323954:7252 | 10/03/18 11:06:37 | 77   | 77   | 0.016          | 0.015         |
| 323976:7253 | 10/03/18 14:01:34 | 55   | 47   | 0.020          | 0.014         |
| 323978:7253 | 10/03/18 14:23:01 | 73   | 68   | 0.029          | 0.022         |
| 323980:7253 | 10/03/18 14:51:36 | 202  | 199  | 0.074          | 0.068         |
| 323983:7253 | 10/03/18 16:11:58 | 188  | 187  | 0.061          | 0.057         |
| 323997:7253 | 10/03/18 17:30:39 | 498  | 498  | 0.134          | 0.129         |
| 324021:7256 | 10/04/18 01:48:39 | 776  | 772  | 0.269          | 0.252         |
| 324022:7256 | 10/04/18 06:50:15 | 554  | 554  | 0.132          | 0.128         |
| 324077:7259 | 10/04/18 22:20:56 | 699  | 699  | 0.252          | 0.242         |
| 324201:7264 | 10/06/18 23:58:19 | 1364 | 1355 | 0.379          | 0.362         |
| 324202:7264 | 10/07/18 08:48:52 | 240  | 238  | 0.040          | 0.039         |
| 324205:7264 | 10/07/18 10:31:04 | 163  | 160  | 0.024          | 0.023         |
| 324206:7264 | 10/07/18 11:38:14 | 149  | 141  | 0.020          | 0.017         |
| 324207:7264 | 10/07/18 12:44:24 | 34   | 33   | 0.004          | 0.004         |
| 324209:7264 | 10/07/18 13:02:20 | 142  | 142  | 0.016          | 0.016         |
| 324237:7265 | 10/07/18 21:29:58 | 204  | 204  | 0.079          | 0.075         |
| 324245:7266 | 10/08/18 01:31:07 | 1659 | 1659 | 0.433          | 0.417         |
| 324293:7270 | 10/08/18 23:08:14 | 2302 | 2302 | 0.530          | 0.512         |
| 324315:7271 | 10/09/18 16:26:19 | 202  | 202  | 0.075          | 0.070         |
| 324318:7271 | 10/09/18 17:53:42 | 332  | 332  | 0.104          | 0.100         |
| 324420:7274 | 10/11/18 00:24:57 | 625  | 625  | 0.209          | 0.199         |
| 324729:7308 | 10/16/18 09:28:04 | 193  | 193  | 0.015          | 0.015         |
| 324747:7309 | 10/16/18 12:56:26 | 1077 | 1073 | 0.323          | 0.308         |
| 324764:7309 | 10/16/18 19:54:47 | 150  | 147  | 0.033          | 0.030         |
| 324765:7309 | 10/16/18 20:52:50 | 481  | 478  | 0.091          | 0.088         |
| 324769:7309 | 10/16/18 23:59:45 | 328  | 328  | 0.048          | 0.047         |
| 324772:7309 | 10/17/18 02:48:00 | 165  | 165  | 0.019          | 0.019         |
| 324785:7310 | 10/17/18 06:16:27 | 588  | 583  | 0.195          | 0.185         |
| 324791:7310 | 10/17/18 10:04:47 | 1217 | 1217 | 0.253          | 0.245         |
| 324835:7314 | 10/17/18 22:30:14 | 259  | 257  | 0.096          | 0.086         |
| 324840:7314 | 10/18/18 00:41:14 | 96   | 93   | 0.032          | 0.028         |
| 324841:7314 | 10/18/18 01:18:35 | 1347 | 1347 | 0.312          | 0.301         |
| 324846:7314 | 10/18/18 10:06:07 | 515  | 515  | 0.071          | 0.068         |
| 324878:7315 | 10/18/18 16:07:07 | 1734 | 1734 | 0.417          | 0.402         |
| 324897:7317 | 10/19/18 06:41:04 | 141  | 141  | 0.053          | 0.050         |
| 324970:7320 | 10/19/18 15:42:39 | 2183 | 2183 | 0.497          | 0.479         |
| 324980:7321 | 10/20/18 08:16:24 | 2263 | 2263 | 0.534          | 0.512         |
| 324997:7324 | 10/21/18 04:34:58 | 122  | 116  | 0.045          | 0.039         |
| 324998:7324 | 10/21/18 05:23:14 | 368  | 362  | 0.123          | 0.114         |
| 324999:7324 | 10/21/18 07:47:04 | 14   | 14   | 0.004          | 0.004         |
| 325000:7324 | 10/21/18 08:03:55 | 371  | 371  | 0.098          | 0.095         |
| 325001:7324 | 10/21/18 10:29:40 | 592  | 592  | 0.123          | 0.119         |
| 325022:7328 | 10/21/18 21:10:37 | 1550 | 1550 | 0.447          | 0.433         |
| 325057:7331 | 10/22/18 14:07:34 | 342  | 342  | 0.126          | 0.120         |
| 325097:7333 | 10/22/18 21:19:15 | 57   | 57   | 0.021          | 0.018         |
| 325098:7333 | 10/22/18 21:46:04 | 8    | 8    | 0.003          | 0.002         |
| 325099:7333 | 10/22/18 21:50:54 | 394  | 388  | 0.148          | 0.139         |
| 325100:7333 | 10/23/18 00:24:31 | 254  | 254  | 0.079          | 0.074         |
| 325101:7333 | 10/23/18 02:07:46 | 484  | 482  | 0.123          | 0.118         |
| 325110:7333 | 10/23/18 05:48:34 | 21   | 16   | 0.005          | 0.003         |
| 325117:7333 | 10/23/18 07:38:21 | 533  | 533  | 0.088          | 0.085         |
| 325159:7334 | 10/23/18 14:38:00 | 219  | 213  | 0.069          | 0.061         |
| 325168:7334 | 10/23/18 16:09:33 | 21   | 18   | 0.006          | 0.004         |
| 325169:7334 | 10/23/18 16:19:28 | 23   | 23   | 0.007          | 0.006         |
| 325170:7334 | 10/23/18 16:31:17 | 1204 | 1203 | 0.272          | 0.263         |
| 325172:7334 | 10/24/18 00:22:14 | 484  | 475  | 0.071          | 0.068         |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+--------+--------+-------------------+------------------+
| nfill | nrun | nls    | ncms   | totdelivered(/fb) | totrecorded(/fb) |
+-------+------+--------+--------+-------------------+------------------+
| 195   | 477  | 233929 | 233537 | 62.091            | 59.613           |
+-------+------+--------+--------+-------------------+------------------+
#Check JSON:
#(run,ls) in json but not in results: []
